participant,task,technique,question,score
10,Select,ForceEdge,frustration,2
10,Select,Baseline,mental,3
10,Select,Baseline,physical,6
10,Select,Baseline,temporal,6
10,Select,Baseline,performance,10
10,Select,Baseline,effort,6
10,Select,Baseline,frustration,2
11,Move,ForceEdge,mental,3
11,Move,ForceEdge,physical,10
11,Move,ForceEdge,temporal,3
11,Move,ForceEdge,performance,13
11,Move,ForceEdge,effort,3
11,Move,ForceEdge,frustration,5
11,Move,Baseline,mental,3
11,Move,Baseline,physical,13
11,Move,Baseline,temporal,9
11,Move,Baseline,performance,11
11,Move,Baseline,effort,3
11,Move,Baseline,frustration,11
11,Select,ForceEdge,mental,3
11,Select,ForceEdge,physical,6
11,Select,ForceEdge,temporal,5
11,Select,ForceEdge,performance,14
11,Select,ForceEdge,effort,8
11,Select,ForceEdge,frustration,8
11,Select,Baseline,mental,3
11,Select,Baseline,physical,7
11,Select,Baseline,temporal,5
11,Select,Baseline,performance,14
11,Select,Baseline,effort,8
11,Select,Baseline,frustration,8
12,Move,ForceEdge,mental,1
12,Move,ForceEdge,physical,11
12,Move,ForceEdge,temporal,5
12,Move,ForceEdge,performance,15
12,Move,ForceEdge,effort,11
12,Move,ForceEdge,frustration,7
12,Move,Baseline,mental,11
12,Move,Baseline,physical,14
12,Move,Baseline,temporal,8
12,Move,Baseline,performance,18
12,Move,Baseline,effort,15
12,Move,Baseline,frustration,7
12,Select,ForceEdge,mental,16
12,Select,ForceEdge,physical,13
12,Select,ForceEdge,temporal,13
12,Select,ForceEdge,performance,7
12,Select,ForceEdge,effort,15
12,Select,ForceEdge,frustration,11
12,Select,Baseline,mental,5
12,Select,Baseline,physical,5
12,Select,Baseline,temporal,5
12,Select,Baseline,performance,17
12,Select,Baseline,effort,5
12,Select,Baseline,frustration,5
13,Move,ForceEdge,mental,7
13,Move,ForceEdge,physical,11
13,Move,ForceEdge,temporal,8
13,Move,ForceEdge,performance,11
13,Move,ForceEdge,effort,8
13,Move,ForceEdge,frustration,5
13,Move,Baseline,mental,6
13,Move,Baseline,physical,11
13,Move,Baseline,temporal,8
13,Move,Baseline,performance,14
13,Move,Baseline,effort,7
13,Move,Baseline,frustration,5
13,Select,ForceEdge,mental,4
13,Select,ForceEdge,physical,7
13,Select,ForceEdge,temporal,7
13,Select,ForceEdge,performance,13
13,Select,ForceEdge,effort,9
13,Select,ForceEdge,frustration,4
13,Select,Baseline,mental,5
13,Select,Baseline,physical,7
13,Select,Baseline,temporal,7
13,Select,Baseline,performance,3
13,Select,Baseline,effort,9
13,Select,Baseline,frustration,5
14,Move,ForceEdge,mental,5
14,Move,ForceEdge,physical,1
14,Move,ForceEdge,temporal,20
14,Move,ForceEdge,performance,20
14,Move,ForceEdge,effort,5
14,Move,ForceEdge,frustration,1
14,Move,Baseline,mental,5
14,Move,Baseline,physical,20
14,Move,Baseline,temporal,1
14,Move,Baseline,performance,1
14,Move,Baseline,effort,17
14,Move,Baseline,frustration,17
14,Select,ForceEdge,mental,4
14,Select,ForceEdge,physical,1
14,Select,ForceEdge,temporal,1
14,Select,ForceEdge,performance,17
14,Select,ForceEdge,effort,3
14,Select,ForceEdge,frustration,1
14,Select,Baseline,mental,10
14,Select,Baseline,physical,3
14,Select,Baseline,temporal,16
14,Select,Baseline,performance,10
14,Select,Baseline,effort,6
14,Select,Baseline,frustration,10
15,Move,ForceEdge,mental,14
15,Move,ForceEdge,physical,8
15,Move,ForceEdge,temporal,16
15,Move,ForceEdge,performance,13
15,Move,ForceEdge,effort,13
15,Move,ForceEdge,frustration,9
15,Move,Baseline,mental,17
15,Move,Baseline,physical,5
15,Move,Baseline,temporal,18
15,Move,Baseline,performance,8
