participant,task,technique,block,distance,repetition,trial,time,overshoot,success
0,Move,Baseline,1,250,1,0,15.1775499582291,137.203125,True
0,Move,Baseline,1,250,2,0,11.185711979866,207.390625,True
0,Move,Baseline,1,250,3,0,8.97054702043533,200.7421875,True
0,Move,Baseline,1,250,4,0,7.71071100234985,274.0625,True
0,Move,Baseline,1,250,5,0,9.21122896671295,202.9921875,True
0,Move,Baseline,2,15,1,0,2.00991195440292,17.671875,True
0,Move,Baseline,2,15,2,0,2.5949330329895,136.3125,True
0,Move,Baseline,2,15,3,0,2.41544997692108,133.828125,True
0,Move,Baseline,2,15,4,0,1.93287700414658,206.15625,True
0,Move,Baseline,2,15,5,0,3.77175897359848,21.703125,True
0,Move,Baseline,2,135,1,0,5.91436499357224,251.1796875,True
0,Move,Baseline,2,135,2,0,5.08279597759247,258.1796875,True
0,Move,Baseline,2,135,3,0,6.12207299470901,105.4296875,True
0,Move,Baseline,2,135,4,0,8.76534700393677,104.2109375,True
0,Move,Baseline,2,135,5,0,5.36356097459793,214.046875,True
0,Move,Baseline,2,250,1,0,8.37524098157883,322.6640625,True
0,Move,Baseline,2,250,2,0,9.55847299098969,201.53125,True
0,Move,Baseline,2,250,3,0,11.4976900219917,134.2734375,True
0,Move,Baseline,2,250,4,0,8.28052699565887,222.3359375,True
0,Move,Baseline,2,250,5,0,10.5178530216217,265.3046875,True
0,Move,Baseline,3,15,1,0,4.92877298593521,657.3046875,True
0,Move,Baseline,3,15,2,0,2.5215910077095,118.8515625,True
0,Move,Baseline,3,15,3,0,3.04563903808594,19.8828125,True
0,Move,Baseline,3,15,4,0,2.59607797861099,132.296875,True
0,Move,Baseline,3,15,5,0,2.54043102264404,118.1015625,True
0,Move,Baseline,3,135,1,0,7.01279503107071,279.78125,True
0,Move,Baseline,3,135,2,0,6.0365110039711,210.6796875,True
0,Move,Baseline,3,135,3,0,5.30848097801208,165.609375,True
0,Move,Baseline,3,135,4,0,5.28349697589874,384.421875,True
0,Move,Baseline,3,135,5,0,4.35065197944641,128.546875,True
0,Move,Baseline,3,250,1,0,6.93949198722839,183.9375,True
0,Move,Baseline,3,250,2,0,8.36600202322006,239.578125,True
0,Move,Baseline,3,250,3,0,9.69059300422668,373.8359375,True
0,Move,Baseline,3,250,4,0,11.4953100085259,219.640625,True
0,Move,Baseline,3,250,5,0,6.78584098815918,366.8984375,True
0,Move,ForceEdge,1,15,1,0,1.33099901676178,463.6015625,False
0,Move,ForceEdge,1,15,1,1,3.33776098489761,45.8671875,True
0,Move,ForceEdge,1,15,2,0,2.13635700941086,41.3515625,True
0,Move,ForceEdge,1,15,3,0,3.2491250038147,68.3515625,True
0,Move,ForceEdge,1,15,4,0,1.59005099534988,105.609375,True
0,Move,ForceEdge,1,15,5,0,2.07801395654678,90.9609375,True
0,Move,ForceEdge,1,135,1,0,3.89847600460052,200.25,True
0,Move,ForceEdge,1,135,2,0,3.40501600503922,222.28125,True
0,Move,ForceEdge,1,135,3,0,2.80991405248642,243.46875,True
0,Move,ForceEdge,1,135,4,0,2.98885202407837,184.1796875,True
0,Move,ForceEdge,1,135,5,0,3.73616403341293,122.953125,True
0,Move,ForceEdge,1,250,1,0,3.08537495136261,254.4453125,True
0,Move,ForceEdge,1,250,2,0,3.01289802789688,89.7265625,True
0,Move,ForceEdge,1,250,3,0,4.32784903049469,481.828125,True
0,Move,ForceEdge,1,250,4,0,3.15493804216385,372.0859375,True
0,Move,ForceEdge,1,250,5,0,3.63786900043488,65.59375,True
0,Move,ForceEdge,2,15,1,0,1.66937702894211,91.6328125,True
0,Move,ForceEdge,2,15,2,0,2.26626998186111,97.53125,True
0,Move,ForceEdge,2,15,3,0,3.06298899650574,100.40625,True
0,Move,ForceEdge,2,15,4,0,2.09319299459457,96.5078125,True
0,Move,ForceEdge,2,15,5,0,2.02028799057007,80.796875,True
0,Move,ForceEdge,2,135,1,0,3.49063098430634,538.21875,True
0,Move,ForceEdge,2,135,2,0,5.12650698423386,160.96875,True
0,Move,ForceEdge,2,135,3,0,4.67965000867844,82.578125,True
0,Move,ForceEdge,2,135,4,0,2.88619697093964,240.546875,True
0,Move,ForceEdge,2,135,5,0,1.9838200211525,146.09375,True
0,Move,ForceEdge,2,250,1,0,3.01710897684097,343.703125,True
0,Move,ForceEdge,2,250,2,0,3.32741701602936,116.6328125,True
0,Move,ForceEdge,2,250,3,0,3.17228198051453,32.9609375,True
0,Move,ForceEdge,2,250,4,0,2.91612601280212,240.4140625,False
0,Move,ForceEdge,2,250,4,1,2.95132499933243,153.859375,True
0,Move,ForceEdge,2,250,5,0,4.21454203128815,107.953125,True
0,Move,ForceEdge,3,15,1,0,1.92763298749924,102.53125,True
0,Move,ForceEdge,3,15,2,0,2.09992200136185,49.8515625,True
0,Move,ForceEdge,3,15,3,0,2.55246698856354,113.6953125,True
0,Move,ForceEdge,3,15,4,0,1.98695600032806,85.1484375,True
0,Move,ForceEdge,3,15,5,0,1.93962800502777,83.1484375,True
0,Move,ForceEdge,3,135,1,0,3.54421103000641,439.375,True
0,Move,ForceEdge,3,135,2,0,4.08382797241211,111.1484375,True
0,Move,ForceEdge,3,135,3,0,2.44396597146988,40.0234375,True
0,Move,ForceEdge,3,135,4,0,3.95455700159073,635.0234375,True
0,Move,ForceEdge,3,135,5,0,2.45140498876572,0,True
0,Move,ForceEdge,3,250,1,0,2.97556602954865,45.6640625,True
0,Move,ForceEdge,3,250,2,0,3.5025720000267,185.890625,True
0,Move,ForceEdge,3,250,3,0,4.36826300621033,89.3359375,True
0,Move,ForceEdge,3,250,4,0,4.06708300113678,389.6328125,True
0,Move,ForceEdge,3,250,5,0,3.09592998027802,21.078125,True
1,Move,ForceEdge,1,15,1,0,3.66807103157044,77.47265625,True
1,Move,ForceEdge,1,15,2,0,2.52769297361374,86.296875,True
1,Move,ForceEdge,1,15,3,0,2.9206799864769,33.734375,True
1,Move,ForceEdge,1,15,4,0,2.50069397687912,35.99609375,True
1,Move,ForceEdge,1,15,5,0,3.51298004388809,49.0390625,True
1,Move,ForceEdge,1,135,1,0,8.87711203098297,348.2578125,True
1,Move,ForceEdge,1,135,2,0,3.40798598527908,207.78125,False
1,Move,ForceEdge,1,135,2,1,4.14308702945709,122.56640625,True
1,Move,ForceEdge,1,135,3,0,2.37282997369766,216.390625,True
